K,R* Time(ms),Sequential Scan Time(ms)
248000,728.5871,229.4192
249000,704.0292,230.5104
250000,729.2669,235.635
251000,736.2909,242.4886
252000,721.6292,257.7868
253000,725.5718,232.2054
254000,716.293,235.1254
255000,718.3312,238.6761
256000,719.8485,234.1184
257000,701.2561,235.1063
258000,715.9384,240.4518
259000,720.3401,233.5252
260000,720.1853,236.2586
261000,698.4805,229.643
262000,704.5758,228.7817
263000,721.2549,230.2938
264000,702.1712,230.3671
265000,699.8826,237.2596
266000,706.8594,234.3208
267000,708.1714,231.5889
268000,713.3576,236.157
269000,723.6898,233.4427
270000,725.0404,237.793
271000,721.8413,237.4882
272000,732.3342,252.4517
273000,762.881,247.6947
274000,756.3608,248.7363
275000,724.7511,239.9504
276000,714.7653,227.8145
277000,740.3656,238.04
278000,727.072,236.7843
279000,748.4744,241.5878
280000,765.2491,230.5286
281000,747.4911,230.2045
282000,712.7754,243.2063
283000,707.6644,238.147
284000,717.2124,230.2696
285000,704.407,229.987
286000,715.4303,226.2851
287000,702.1461,230.8724
288000,714.1505,242.3203
289000,732.6484,238.2984
290000,752.1383,260.5511
291000,728.6073,230.5976
292000,723.9635,228.632
293000,731.5965,246.955
294000,705.3026,235.1527
295000,730.6901,230.044
296000,702.5983,226.9772
297000,702.1661,233.5411
298000,738.0134,230.526
299000,707.6969,225.3905
300000,705.3634,230.175
